screen,social,gaming,unlocks,night,session
111,22,11,26,1,2
74,21,0,39,3,4
131,40,25,23,5,2
120,55,13,46,6,1
80,11,37,27,9,3
142,59,36,39,18,2
146,44,10,48,18,4
134,32,35,41,25,4
134,26,12,40,21,2
147,35,2,38,28,4
83,17,32,32,11,5
62,38,5,33,2,5
81,35,9,29,12,5
112,19,4,30,17,1
61,35,22,21,7,2
147,43,9,44,20,1
89,50,1,45,14,4
97,16,12,28,0,1
61,13,39,36,2,4
123,59,1,45,25,4
119,54,19,22,7,3
80,20,0,43,3,5
92,38,36,25,15,4
135,45,8,24,29,3
117,34,16,24,22,5
81,30,8,41,9,4
148,45,10,34,11,4
108,19,14,42,13,1
118,46,23,36,13,1
101,18,37,28,1,5
119,33,34,22,22,4
139,44,29,39,4,2
74,58,30,45,4,1
121,44,4,36,5,5
121,57,13,48,12,4
106,45,10,46,8,4
121,27,8,29,29,2
110,58,33,22,21,5
114,48,11,37,27,4
123,41,34,37,28,1
62,33,34,49,14,2
110,32,0,36,13,5
66,41,39,43,23,2
80,46,21,22,6,1
132,21,28,22,24,5
98,58,7,25,19,2
77,22,10,32,1,3
63,32,36,43,6,1
148,34,13,48,5,1
119,44,29,34,16,1
73,50,34,44,26,3
68,39,20,28,24,3
149,26,36,23,24,4
112,58,4,33,27,2
61,29,18,24,1,4
143,57,13,21,2,2
119,34,25,30,4,3
130,31,3,28,4,3
103,22,24,43,0,4
67,28,24,22,7,5
106,58,17,46,11,4
94,45,39,47,23,2
137,21,7,48,3,4
140,50,38,28,12,1
95,28,39,22,22,2
109,21,13,44,14,2
63,18,31,21,10,5
61,16,37,31,9,3
65,37,32,29,2,2
113,23,22,28,21,3
63,40,14,34,13,4
113,28,32,27,15,1
122,56,24,44,9,5
77,25,16,24,28,3
149,14,32,30,9,2
103,44,1,46,11,3
93,21,13,21,29,2
133,34,39,43,8,3
121,30,39,47,0,2
73,45,38,34,4,4
107,32,5,25,19,2
74,25,5,27,7,2
131,48,2,46,10,1
137,54,6,24,11,2
146,51,7,35,0,1
121,48,14,45,24,5
99,23,28,37,21,1
144,40,32,25,19,4
139,14,29,24,27,1
141,44,38,47,24,5
112,32,26,35,10,4
83,38,35,32,4,3
85,52,28,47,14,3
148,20,37,24,4,1
119,27,32,32,11,1
100,56,36,36,4,5
88,21,26,37,16,5
74,18,32,27,16,2
104,19,3,32,23,5
124,53,21,49,11,2
148,26,1,48,23,4
130,47,9,38,27,1
68,16,4,45,14,4
147,55,9,22,14,5
60,22,32,43,5,4
67,49,37,27,11,4
147,51,12,21,26,4
122,18,30,27,28,5
70,59,35,46,19,4
140,36,23,32,17,2
67,11,14,32,13,5
94,14,28,20,1,4
94,38,7,25,8,5
92,46,4,43,4,3
64,47,28,38,19,2
100,28,3,35,25,4
87,17,11,27,28,3
66,57,1,47,0,3
132,54,26,20,22,5
131,10,30,46,2,3
71,31,35,46,5,2
93,26,35,35,4,2
92,16,25,28,20,1
107,34,26,32,26,2
82,54,4,30,4,3
121,13,19,32,0,2
147,45,10,44,16,5
96,15,9,40,18,1
103,40,39,29,13,3
145,28,37,23,11,1
94,53,5,46,9,3
124,48,7,25,19,5
106,36,22,47,20,1
137,19,25,26,17,4
62,35,11,24,23,3
60,28,25,30,26,4
64,48,12,32,10,1
149,12,39,45,29,4
73,54,17,44,1,4
86,22,24,38,24,1
68,59,32,42,17,5
138,37,39,29,28,4
74,29,11,29,24,4
149,37,35,30,6,5
101,17,3,40,23,4
136,50,4,49,14,4
110,48,36,26,10,4
122,10,7,37,17,2
111,12,27,23,22,5
63,22,30,21,11,4
82,37,8,33,5,5
74,58,28,32,19,3
102,34,13,48,22,3
88,42,39,31,29,4
95,47,21,26,12,5
72,15,10,21,19,5
91,53,22,32,15,5
130,54,0,33,17,2
118,41,36,46,9,3
145,54,20,36,27,5
87,56,25,28,22,5
125,30,35,36,7,2
101,25,22,27,17,2
104,30,0,21,20,5
121,20,39,47,0,1
116,46,14,43,22,5
65,45,20,32,7,5
87,44,8,22,28,2
87,28,8,35,5,2
103,29,9,25,4,5
143,27,25,38,14,5
89,56,34,49,21,5
121,50,24,26,14,2
134,58,25,29,1,5
148,23,10,28,0,5
121,24,37,21,22,4
60,40,1,47,22,1
86,10,6,47,25,3
121,12,17,34,10,1
